,Scheme_Name,Min_Sip,Min_Lumpsum,Expense_Ratio,Fund_Size_Cr,Fund_Age_Yr,Fund_Manager,Risk_Level,Amc_Name,Rating,Category,Sub_Category,Returns_1Yr,Returns_3Yr,Returns_5Yr
300,ICICI Pru BHARAT 22 FOF  – Direct Growth,1000,5000,0.08,89.0,5,Kayzad Eghlim,6,ICICI Prudential Mutual Fund,5,Other,FoFs Domestic,22.1,35.0,0.0
301,ICICI Pru Bharat Consumption Fund,100,5000,1.54,1866.0,4,Sankaran Naren,6,ICICI Prudential Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,10.2,22.7,0.0
302,ICICI Pru Bluechip Fund,100,100,1.06,34198.0,10,Anish Tawakley,6,ICICI Prudential Mutual Fund,4,Equity,Large Cap Mutual Funds,4.4,28.2,12.3
303,ICICI Pru Bond Fund,100,5000,0.6,2223.0,10,Manish Banthia,3,ICICI Prudential Mutual Fund,3,Debt,Medium to Long Duration Funds,5.2,6.9,7.3
304,ICICI Pru Child Care Fund,100,5000,1.69,844.0,10,Manish Banthia,6,ICICI Prudential Mutual Fund,3,Solution Oriented,Childrens Funds,1.0,19.8,8.8
305,ICICI Pru Corporate Bond Fund,100,100,0.3,16998.0,10,Rahul Goswami,2,ICICI Prudential Mutual Fund,5,Debt,Corporate Bond Mutual Funds,5.8,7.0,7.3
306,ICICI Pru Credit Risk Fund,100,100,0.86,7584.0,10,Manish Banthia,4,ICICI Prudential Mutual Fund,4,Debt,Credit Risk Funds,5.8,8.0,8.1
307,ICICI Pru Debt Management Fund,100,100,0.41,141.0,10,Manish Banthia,3,ICICI Prudential Mutual Fund,4,Other,FoFs Domestic,5.8,6.7,7.0
308,ICICI Pru Dividend Yield Equity Fund,100,5000,0.66,1258.0,9,Mittul Kalawadia,6,ICICI Prudential Mutual Fund,0,Equity,Dividend Yield Funds,8.5,37.6,12.1
309,ICICI Pru Equity & Debt Fund,100,5000,1.2,21232.0,10,Sankaran Naren,6,ICICI Prudential Mutual Fund,5,Hybrid,Aggressive Hybrid Mutual Funds,6.8,30.6,14.3
310,ICICI Pru Equity – Arbitrage Fund,1000,5000,0.39,11272.0,10,Kayzad Eghlim,1,ICICI Prudential Mutual Fund,3,Hybrid,Arbitrage Mutual Funds,5.6,4.8,5.5
311,ICICI Pru Equity Savings Fund,100,5000,0.54,4936.0,8,Kayzad Eghlim,2,ICICI Prudential Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,6.2,12.7,7.9
312,ICICI Pru Exports and Services Fund,1000,5000,1.76,1040.0,10,Sankaran Naren,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,5.7,30.7,11.4
313,ICICI Pru Floating Interest Fund,100,500,0.62,11650.0,10,Rahul Goswami,2,ICICI Prudential Mutual Fund,2,Debt,Floater Mutual Funds,6.3,7.0,7.2
314,ICICI Pru FMCG Fund,100,5000,1.44,1156.0,10,Priyanka Khandelwal,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,21.1,24.5,13.5
315,ICICI Pru Focused Equity Fund,100,5000,0.59,3920.0,10,Sankaran Naren,6,ICICI Prudential Mutual Fund,4,Equity,Focused Funds,6.1,31.2,13.4
316,ICICI Pru Gilt Fund,1000,5000,0.56,2692.0,10,Rahul Goswami,3,ICICI Prudential Mutual Fund,5,Debt,Gilt Mutual Funds,6.3,6.7,8.4
317,ICICI Pru Global Stable Equity Fund,1000,5000,1.26,111.0,10,Rohan Maru,6,ICICI Prudential Mutual Fund,0,Other,FoFs Overseas,3.4,18.0,10.3
318,ICICI Pru Income Optimizer Fund,1000,5000,0.26,272.0,10,Dharmesh Kakkad,3,ICICI Prudential Mutual Fund,5,Other,FoFs Domestic,7.8,13.3,8.8
319,ICICI Pru India Equity FOF – Direct Growth,100,500,0.88,62.0,3,Dharmesh Kakkad,6,ICICI Prudential Mutual Fund,5,Other,FoFs Domestic,4.9,32.2,0.0
320,ICICI Pru India Opportunities Fund,100,5000,0.73,7644.0,4,Sankaran Naren,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,11.7,44.7,0.0
321,ICICI Pru Infrastructure Fund,100,5000,1.64,2269.0,10,Ihab Dalwai,6,ICICI Prudential Mutual Fund,5,Equity,Sectoral / Thematic Mutual Funds,24.3,44.0,15.1
322,ICICI Pru Large & Mid Cap Fund,100,5000,1.09,7044.0,10,Ihab Dalwai,6,ICICI Prudential Mutual Fund,4,Equity,Large & Mid Cap Funds,9.5,33.2,13.7
323,ICICI Pru Liquid Fund,99,99,0.2,47245.0,10,Rahul Goswami,3,ICICI Prudential Mutual Fund,2,Debt,Liquid Mutual Funds,5.6,4.3,5.3
324,ICICI Pru Long Term Equity Fund,500,500,1.23,9819.0,10,Harish Bihani,6,ICICI Prudential Mutual Fund,3,Equity,ELSS Mutual Funds,-0.2,27.1,11.5
325,ICICI Pru Long Term Wealth Enhancement Fund,0,500,0.97,32.0,5,Rajat Chandak,6,ICICI Prudential Mutual Fund,0,Equity,ELSS Mutual Funds,-0.7,33.7,11.3
326,ICICI Pru Manufacturing Fund,100,5000,1.7,645.0,4,Anish Tawakley,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,8.6,35.6,0.0
327,ICICI Pru Medium Term Bond Fund,1000,5000,0.77,6305.0,10,Manish Banthia,4,ICICI Prudential Mutual Fund,4,Debt,Medium Duration Funds,5.6,7.7,7.6
328,ICICI Pru MidCap Fund,100,5000,1.16,3492.0,10,Lalit Kumar,6,ICICI Prudential Mutual Fund,3,Equity,Mid Cap Mutual Funds,3.9,32.9,11.1
329,ICICI Pru Money Market Fund,100,500,0.21,11475.0,10,Rahul Goswami,3,ICICI Prudential Mutual Fund,3,Debt,Money Market Funds,5.5,5.4,6.1
330,ICICI Pru Multi-Asset Fund,100,5000,1.15,16449.0,10,Sankaran Naren,6,ICICI Prudential Mutual Fund,4,Hybrid,Multi Asset Allocation Mutual Funds,11.3,31.3,14.2
331,ICICI Pru Multicap Fund,100,5000,1.02,6929.0,10,Sankaran Naren,6,ICICI Prudential Mutual Fund,0,Equity,Multi Cap Funds,5.7,29.1,11.8
332,ICICI Pru Nifty 50 Index Fund,100,100,0.17,3977.0,10,Kayzad Eghlim,6,ICICI Prudential Mutual Fund,3,Other,Index Funds,0.9,26.1,11.9
333,ICICI Pru Nifty Next 50 Index Fund,100,100,0.3,2415.0,10,Kayzad Eghlim,6,ICICI Prudential Mutual Fund,1,Other,Index Funds,-6.4,22.0,6.1
334,ICICI Pru Overnight Fund,500,100,0.1,12837.0,4,Rahul Goswami,1,ICICI Prudential Mutual Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,0.0
335,ICICI Pru P.H.D Fund,100,5000,1.22,2538.0,5,Dharmesh Kakkad,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-6.0,25.0,0.0
336,ICICI Pru Passive Strategy Fund,1000,5000,0.06,93.0,10,Dharmesh Kakkad,6,ICICI Prudential Mutual Fund,3,Other,FoFs Domestic,4.9,26.3,10.9
337,ICICI Pru Regular Gold Savings Fund,100,100,0.09,671.0,10,Manish Banthia,5,ICICI Prudential Mutual Fund,3,Other,FoFs Domestic,14.3,11.7,13.1
338,ICICI Pru Regular Savings Fund,100,5000,0.99,3212.0,10,Manish Banthia,4,ICICI Prudential Mutual Fund,5,Hybrid,Conservative Hybrid Mutual Funds,5.5,11.3,9.0
339,ICICI Pru Retirement Fund,100,5000,1.22,209.0,4,Lalit Kumar,6,ICICI Prudential Mutual Fund,5,Solution Oriented,Retirement Funds,0.1,31.3,0.0
340,ICICI Pru Retirement Fund,100,5000,1.12,152.0,4,Lalit Kumar,6,ICICI Prudential Mutual Fund,3,Solution Oriented,Retirement Funds,1.7,32.4,13.3
341,ICICI Pru Retirement Fund,100,5000,1.0,59.0,4,Lalit Kumar,4,ICICI Prudential Mutual Fund,3,Solution Oriented,Retirement Funds,2.0,9.9,0.0
342,ICICI Pru Retirement Fund,100,5000,1.29,175.0,4,Manish Banthia,3,ICICI Prudential Mutual Fund,3,Solution Oriented,Retirement Funds,4.6,6.8,0.0
343,ICICI Pru S&P BSE Sensex Index Fund,100,100,0.16,694.0,6,Kayzad Eghlim,6,ICICI Prudential Mutual Fund,4,Other,Index Funds,1.4,25.8,12.9
344,ICICI Pru Savings Fund,100,100,0.4,21144.0,10,Rahul Goswami,2,ICICI Prudential Mutual Fund,2,Debt,Low Duration Funds,5.7,6.2,6.7
345,ICICI Pru Short Term Fund,1000,5000,0.39,14561.0,10,Manish Banthia,3,ICICI Prudential Mutual Fund,4,Debt,Short Duration Funds,6.4,7.5,7.7
346,ICICI Pru Smallcap Fund,100,5000,0.81,4618.0,10,Harish Bihani,6,ICICI Prudential Mutual Fund,3,Equity,Small Cap Mutual Funds,7.7,41.8,14.9
347,ICICI Pru Technology Fund,100,5000,0.99,8993.0,10,Vaibhav Dusad,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-19.7,45.3,21.6
348,ICICI Pru Thematic Advantage Fund,1000,5000,0.25,958.0,10,Dharmesh Kakkad,6,ICICI Prudential Mutual Fund,0,Other,FoFs Domestic,5.4,35.4,14.6
349,ICICI Pru Ultra Short Term Fund,1000,5000,0.39,12447.0,10,Manish Banthia,3,ICICI Prudential Mutual Fund,4,Debt,Ultra Short Duration Funds,5.7,5.9,6.7
350,ICICI Pru US Bluechip Equity Fund,100,5000,1.22,2365.0,10,Rohan Maru,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,4.8,23.4,15.9
351,ICICI Pru Value Discovery Fund,100,1000,1.22,27449.0,10,Sankaran Naren,6,ICICI Prudential Mutual Fund,4,Equity,Value Funds,8.9,36.9,14.9
352,IDBI Banking & Financial Services Fund,500,5000,1.5,81.0,5,Alok Ranjan,6,IDBI Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,4.8,20.3,0.0
353,IDBI Credit Risk Fund,500,5000,0.61,22.0,9,Raju Sharma,4,IDBI Mutual Fund,3,Debt,Credit Risk Funds,4.3,11.3,3.7
354,IDBI Dividend Yield Fund,500,5000,1.5,85.0,4,Alok Ranjan,6,IDBI Mutual Fund,0,Equity,Dividend Yield Funds,0.1,25.2,0.0
355,IDBI Equity Advantage Fund,500,500,1.21,455.0,10,Alok Ranjan,6,IDBI Mutual Fund,2,Equity,ELSS Mutual Funds,-0.7,33.7,11.3
356,IDBI Equity Savings Fund,500,5000,1.15,9.77,10,Alok Ranjan,4,IDBI Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,2.5,11.8,7.2
357,IDBI Focused 30 Equity Fund,500,5000,1.61,125.0,5,Alok Ranjan,6,IDBI Mutual Fund,3,Equity,Focused Funds,0.1,25.2,10.2
358,IDBI Gold Fund,500,5000,0.26,42.0,10,Nitin Dattaram Dalvi,5,IDBI Mutual Fund,3,Other,FoFs Domestic,15.0,12.1,12.9
359,IDBI Healthcare Fund,500,5000,1.24,49.0,4,Alok Ranjan,6,IDBI Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-13.0,17.1,0.0
360,IDBI Hybrid Equity Fund,500,5000,1.67,171.0,6,Alok Ranjan,6,IDBI Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-1.8,17.5,7.0
361,IDBI India Top 100 Equity Fund,500,5000,1.26,599.0,10,Alok Ranjan,6,IDBI Mutual Fund,4,Equity,Large Cap Mutual Funds,0.5,26.0,12.4
362,IDBI Liquid Fund,500,5000,0.13,763.0,10,Raju Sharma,2,IDBI Mutual Fund,4,Debt,Liquid Mutual Funds,5.6,4.4,5.4
363,IDBI Long Term Value Fund,500,5000,1.67,92.0,5,Alok Ranjan,6,IDBI Mutual Fund,2,Equity,Value Funds,-0.1,25.4,0.0
364,IDBI Midcap Fund,500,5000,1.62,176.0,6,Alok Ranjan,6,IDBI Mutual Fund,1,Equity,Mid Cap Mutual Funds,-2.9,25.1,7.7
365,IDBI Nifty 50 Index Fund,500,5000,0.32,188.0,10,Nisha Sharma,6,IDBI Mutual Fund,3,Other,Index Funds,0.8,25.8,11.8
366,IDBI Nifty Next 50 Index Fund,500,5000,0.32,49.0,10,Nisha Sharma,6,IDBI Mutual Fund,1,Other,Index Funds,-6.1,21.8,6.2
367,IDBI Short Term Bond Fund,500,5000,0.28,29.0,10,Raju Sharma,2,IDBI Mutual Fund,4,Debt,Short Duration Funds,4.1,9.4,6.9
368,IDBI Small Cap Fund,500,5000,1.54,143.0,6,Alok Ranjan,6,IDBI Mutual Fund,3,Equity,Small Cap Mutual Funds,2.1,38.5,12.6
369,IDBI Ultra Short Term Fund,500,5000,0.25,198.0,10,Raju Sharma,2,IDBI Mutual Fund,3,Debt,Ultra Short Duration Funds,5.4,5.1,5.9
370,IIFL Dynamic Bond Fund,1000,10000,0.27,494.0,10,Milan Mody,3,IIFL Mutual Fund,4,Debt,Dynamic Bond,3.3,6.0,6.5
371,IIFL Focused Equity Fund,1000,1000,0.9,3416.0,8,Mayur Patel,6,IIFL Mutual Fund,5,Equity,Focused Funds,4.7,29.2,18.1
372,IIFL Liquid Fund,1000,5000,0.2,601.0,9,Milan Mody,3,IIFL Mutual Fund,2,Debt,Liquid Mutual Funds,5.5,3.9,4.8
373,Indiabulls Arbitrage Fund,1000,500,0.58,14.0,8,Sumit Bhatnagar,1,Indiabulls Mutual Fund,2,Hybrid,Arbitrage Mutual Funds,4.3,3.3,4.5
374,Indiabulls Bluechip Fund,500,500,1.27,91.0,10,Sumit Bhatnagar,6,Indiabulls Mutual Fund,2,Equity,Large Cap Mutual Funds,2.0,21.3,9.5
375,Indiabulls Dynamic Bond Fund,500,500,0.36,25.0,4,Karan Singh,3,Indiabulls Mutual Fund,3,Debt,Dynamic Bond,4.2,5.2,0.0
376,Indiabulls Equity Hybrid Fund,500,500,1.55,32.0,4,Sumit Bhatnagar,5,Indiabulls Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,3.2,20.5,0.0
377,Indiabulls Liquid Fund,500,500,0.22,212.0,10,Karan Singh,2,Indiabulls Mutual Fund,1,Debt,Liquid Mutual Funds,5.4,4.0,5.2
378,Indiabulls Overnight Fund,500,500,0.18,42.0,4,Karan Singh,1,Indiabulls Mutual Fund,1,Debt,Overnight Mutual Funds,5.2,3.8,0.0
379,Indiabulls Short Term Fund,500,500,0.38,25.0,10,Karan Singh,3,Indiabulls Mutual Fund,2,Debt,Short Duration Funds,4.4,5.1,5.9
380,Indiabulls Tax Savings Fund,500,500,0.5,36.0,5,Sumit Bhatnagar,6,Indiabulls Mutual Fund,2,Equity,ELSS Mutual Funds,1.0,22.3,7.8
381,Indiabulls Value Fund,500,500,0.5,9.71,8,Sumit Bhatnagar,6,Indiabulls Mutual Fund,2,Equity,Value Funds,-0.2,25.6,6.3
382,Invesco India – Invesco GEI Fund,500,1000,0.73,12.0,9,Amit Nigam,6,Invesco Mutual Fund,0,Other,FoFs Overseas,9.5,24.4,9.5
383,Invesco India Arbitrage Fund,500,1000,0.38,3184.0,10,Deepak Gupta,1,Invesco Mutual Fund,5,Hybrid,Arbitrage Mutual Funds,6.4,5.0,5.6
384,Invesco India Banking & PSU Debt Fund,1000,1000,0.28,131.0,10,Vikas Garg,3,Invesco Mutual Fund,1,Debt,Banking and PSU Mutual Funds,2.3,5.8,6.4
385,Invesco India Contra Fund,500,1000,0.62,9347.0,10,Taher Badshah,6,Invesco Mutual Fund,4,Equity,Contra Funds,2.8,27.6,12.3
386,Invesco India Corporate Bond Fund,100,1000,0.28,2065.0,10,Vikas Garg,2,Invesco Mutual Fund,3,Debt,Corporate Bond Mutual Funds,3.7,6.4,6.9
387,Invesco India Credit Risk Fund,1000,1000,0.28,129.0,9,Vikas Garg,2,Invesco Mutual Fund,2,Debt,Credit Risk Funds,4.4,6.0,3.5
388,Invesco India Dynamic Equity Fund,500,1000,0.95,612.0,10,Amit Ganatra,6,Invesco Mutual Fund,2,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.9,15.4,7.4
389,Invesco India Equity & Bond Fund,500,1000,0.76,378.0,5,Dhimant Kothari,6,Invesco Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,1.5,17.4,0.0
390,Invesco India Equity Savings Fund,500,1000,0.73,132.0,4,Dhimant Kothari,4,Invesco Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,1.2,9.6,0.0
391,Invesco India Financial Services Fund,100,1000,1.08,472.0,10,Hiten Jain,6,Invesco Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,5.9,22.6,10.9
392,Invesco India Gilt Fund,100,1000,0.48,22.0,10,Vikas Garg,2,Invesco Mutual Fund,1,Debt,Gilt Mutual Funds,4.9,4.2,6.7
393,Invesco India Gold Fund,500,1000,0.16,59.0,10,Krishna Cheemalapati,5,Invesco Mutual Fund,4,Other,FoFs Domestic,13.2,11.5,13.2
394,Invesco India Growth Opportunities Fund,100,1000,0.66,3665.0,10,Amit Ganatra,6,Invesco Mutual Fund,3,Equity,Large & Mid Cap Funds,0.8,22.8,11.0
395,Invesco India Infrastructure Fund,500,1000,1.08,445.0,10,Amit Nigam,6,Invesco Mutual Fund,5,Equity,Sectoral / Thematic Mutual Funds,8.9,33.2,14.6
396,Invesco India Largecap Fund,100,1000,0.81,724.0,10,Amit Nigam,6,Invesco Mutual Fund,4,Equity,Large Cap Mutual Funds,-1.8,24.0,11.1
397,Invesco India Liquid Fund,500,1000,0.15,6434.0,10,Krishna Cheemalapati,2,Invesco Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.3
398,Invesco India Medium Duration Fund,1000,1000,0.4,306.0,2,Vikas Garg,3,Invesco Mutual Fund,2,Debt,Medium Duration Funds,3.5,0.0,0.0
399,Invesco India Midcap Fund,500,1000,0.72,2618.0,10,Pranav Gokhale,6,Invesco Mutual Fund,3,Equity,Mid Cap Mutual Funds,0.2,33.5,14.6
400,Invesco India Money Market Fund,1000,1000,0.22,2294.0,10,Krishna Cheemalapati,2,Invesco Mutual Fund,2,Debt,Money Market Funds,5.0,5.1,5.8
401,Invesco India Multicap Fund,500,1000,0.65,2347.0,10,Pranav Gokhale,6,Invesco Mutual Fund,0,Equity,Multi Cap Funds,1.4,27.0,11.0
402,Invesco India Overnight Fund,100,1000,0.09,337.0,3,Krishna Cheemalapati,1,Invesco Mutual Fund,3,Debt,Overnight Mutual Funds,5.3,3.8,0.0
403,Invesco India PSU Equity Fund,500,1000,0.96,394.0,10,Dhimant Kothari,6,Invesco Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,16.2,26.5,12.6
404,Invesco India Short Term Fund,1000,1000,0.35,350.0,10,Vikas Garg,2,Invesco Mutual Fund,2,Debt,Short Duration Funds,3.9,6.2,6.8
405,Invesco India Smallcap Fund,500,1000,0.78,1400.0,4,Taher Badshah,6,Invesco Mutual Fund,3,Equity,Small Cap Mutual Funds,3.5,34.6,0.0
406,Invesco India Tax Plan – Direct Growth,500,500,0.92,1833.0,10,Amit Nigam,6,Invesco Mutual Fund,3,Equity,ELSS Mutual Funds,-5.2,22.4,10.8
407,Invesco India Treasury Advantage Fund,100,1000,0.32,1230.0,10,Krishna Cheemalapati,2,Invesco Mutual Fund,2,Debt,Low Duration Funds,4.9,5.6,6.4
408,Invesco India Ultra Short Term Fund,1000,1000,0.24,818.0,10,Krishna Cheemalapati,2,Invesco Mutual Fund,3,Debt,Ultra Short Duration Funds,5.4,5.1,6.0
409,ITI Arbitrage Fund,500,5000,0.22,7.04,4,Vikrant Mehta,1,ITI Mutual Fund,1,Hybrid,Arbitrage Mutual Funds,3.9,3.3,0.0
410,ITI Balanced Advantage Fund,500,5000,0.35,452.0,3,Dhimant Shah,6,ITI Mutual Fund,1,Hybrid,Dynamic Asset Allocation or Balanced Advantage,-0.2,12.3,0.0
411,ITI Banking & PSU Debt Fund,500,5000,0.15,27.0,2,Vikrant Mehta,2,ITI Mutual Fund,5,Debt,Banking and PSU Mutual Funds,5.4,0.0,0.0
412,ITI Dynamic Bond Fund,500,5000,0.14,57.0,2,Vikrant Mehta,2,ITI Mutual Fund,5,Debt,Dynamic Bond,5.7,0.0,0.0
413,ITI Liquid Fund,500,5000,0.09,31.0,4,Vikrant Mehta,1,ITI Mutual Fund,2,Debt,Liquid Mutual Funds,5.5,3.9,0.0
414,ITI Long Term Equity Fund,500,500,0.44,156.0,3,Dhimant Shah,6,ITI Mutual Fund,2,Equity,ELSS Mutual Funds,5.6,23.7,0.0
415,ITI Overnight Fund,500,5000,0.08,26.0,3,Vikrant Mehta,1,ITI Mutual Fund,1,Debt,Overnight Mutual Funds,5.2,3.8,0.0
416,ITI Small Cap Fund,500,5000,0.44,1015.0,3,Dhimant Shah,6,ITI Mutual Fund,1,Equity,Small Cap Mutual Funds,6.5,29.4,0.0
417,ITI Ultra Short Duration Fund,500,5000,0.1,119.0,2,Vikrant Mehta,2,ITI Mutual Fund,2,Debt,Ultra Short Duration Funds,5.3,0.0,0.0
418,JM Arbitrage Fund,500,5000,0.36,60.0,10,Asit Bhandarkar,1,JM Financial Mutual Fund,1,Hybrid,Arbitrage Mutual Funds,5.4,3.7,4.5
419,JM Dynamic Bond Fund,1000,5000,0.63,43.0,10,Gurvinder Singh Wasan,2,JM Financial Mutual Fund,4,Debt,Dynamic Bond,4.8,6.0,6.1
420,JM Equity Hybrid Fund,500,5000,1.37,11.0,10,Asit Bhandarkar,6,JM Financial Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,8.0,29.5,11.2
421,JM Flexicap Fund,500,5000,1.62,255.0,10,Gurvinder Singh Wasan,6,JM Financial Mutual Fund,4,Equity,Flexi Cap Funds,5.2,30.7,13.8
422,JM Focused Fund,500,5000,1.58,42.0,10,Gurvinder Singh Wasan,6,JM Financial Mutual Fund,1,Equity,Focused Funds,3.1,19.4,8.6
423,JM Large Cap Fund,500,5000,1.8,44.0,10,Gurvinder Singh Wasan,6,JM Financial Mutual Fund,5,Equity,Large Cap Mutual Funds,1.8,18.3,10.4
424,JM Liquid Fund,1000,5000,0.15,1426.0,10,Shalini Tibrewala,2,JM Financial Mutual Fund,4,Debt,Liquid Mutual Funds,5.6,4.2,5.3
425,JM Low Duration Fund,1000,5000,0.34,151.0,10,Shalini Tibrewala,2,JM Financial Mutual Fund,4,Debt,Low Duration Funds,5.1,11.5,5.3
426,JM Medium to Long Duration Fund,1000,5000,0.48,19.0,10,Gurvinder Singh Wasan,3,JM Financial Mutual Fund,2,Debt,Medium to Long Duration Funds,2.5,4.8,3.1
427,JM Tax Gain Fund,500,500,1.45,70.0,10,Gurvinder Singh Wasan,6,JM Financial Mutual Fund,3,Equity,ELSS Mutual Funds,0.9,26.2,12.8
428,JM Value Fund,500,5000,1.87,163.0,10,Gurvinder Singh Wasan,6,JM Financial Mutual Fund,2,Equity,Value Funds,7.7,28.9,12.4
429,Kotak Balanced Advantage Fund,1000,1000,0.48,14279.0,5,Harish Krishnan,6,Kotak Mahindra Mutual Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,5.5,18.1,0.0
430,Kotak Banking and PSU Debt Fund,1000,5000,0.37,5256.0,10,Deepak Agrawal,3,Kotak Mahindra Mutual Fund,3,Debt,Banking and PSU Mutual Funds,4.7,6.7,7.5
431,Kotak Bluechip Fund,100,1000,0.64,5259.0,10,Harish Krishnan,6,Kotak Mahindra Mutual Fund,5,Equity,Large Cap Mutual Funds,3.3,26.8,12.6
432,Kotak Bond – Short Term Fund,1000,5000,0.36,12203.0,10,Deepak Agrawal,3,Kotak Mahindra Mutual Fund,3,Debt,Short Duration Funds,4.4,6.5,7.2
433,Kotak Bond Fund,1000,5000,0.63,1584.0,10,Abhishek Bisen,2,Kotak Mahindra Mutual Fund,3,Debt,Medium to Long Duration Funds,4.1,6.4,7.7
434,Kotak Corporate Bond Fund,1000,5000,0.32,8880.0,10,Deepak Agrawal,2,Kotak Mahindra Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.5,6.4,7.1
435,Kotak Credit Risk Fund,1000,5000,0.74,1204.0,10,Deepak Agrawal,5,Kotak Mahindra Mutual Fund,2,Debt,Credit Risk Funds,1.6,5.9,6.4
436,Kotak Debt Hybrid Fund,1000,5000,0.44,1650.0,10,Devender Singhal,4,Kotak Mahindra Mutual Fund,5,Hybrid,Conservative Hybrid Mutual Funds,6.1,14.3,10.0
437,Kotak Dynamic Bond Fund,1000,5000,0.4,1992.0,10,Deepak Agrawal,3,Kotak Mahindra Mutual Fund,4,Debt,Dynamic Bond,3.9,6.6,7.8
438,Kotak Emerging Equity Fund,100,100,0.49,23962.0,10,Pankaj Tibrewal,6,Kotak Mahindra Mutual Fund,4,Equity,Mid Cap Mutual Funds,6.6,34.0,15.2
439,Kotak Equity Arbitrage Fund,1000,5000,0.43,21917.0,10,Hiten Shah,1,Kotak Mahindra Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.8,4.9,5.6
440,Kotak Equity Hybrid Fund,1000,5000,0.58,3269.0,8,Pankaj Tibrewal,6,Kotak Mahindra Mutual Fund,0,Hybrid,Aggressive Hybrid Mutual Funds,5.0,26.9,12.8
441,Kotak Equity Opportunities – Direct Growth,500,500,0.6,11608.0,10,Harsha Upadhyaya,6,Kotak Mahindra Mutual Fund,4,Equity,Large & Mid Cap Funds,6.2,28.8,13.9
442,Kotak Equity Savings Fund,1000,5000,1.02,2097.0,8,Devender Singhal,4,Kotak Mahindra Mutual Fund,4,Hybrid,Equity Savings Mutual Funds,6.6,14.4,9.2
443,Kotak Flexi Cap Fund,500,5000,0.68,35775.0,10,Harsha Upadhyaya,6,Kotak Mahindra Mutual Fund,3,Equity,Flexi Cap Funds,3.8,25.0,11.7
444,Kotak Floating Rate Fund,1000,5000,0.22,4796.0,4,Deepak Agrawal,2,Kotak Mahindra Mutual Fund,2,Debt,Floater Mutual Funds,4.6,7.0,0.0
445,Kotak Focused Equity Fund,1000,5000,0.51,2447.0,4,Shibani Kurian,6,Kotak Mahindra Mutual Fund,3,Equity,Focused Funds,0.5,26.6,0.0
446,Kotak Gilt – Invest Plan – Direct Growth,1000,5000,0.41,1699.0,10,Abhishek Bisen,2,Kotak Mahindra Mutual Fund,4,Debt,Gilt Mutual Funds,5.2,6.3,8.4
447,Kotak Gilt Invest – PF & Trust Plan – Direct Growth,1000,5000,0.41,1699.0,10,Abhishek Bisen,2,Kotak Mahindra Mutual Fund,4,Debt,Gilt Mutual Funds,5.2,6.3,8.4
448,Kotak Gold Fund,1000,5000,0.18,1406.0,10,Abhishek Bisen,5,Kotak Mahindra Mutual Fund,3,Other,FoFs Domestic,14.2,12.2,13.7
449,Kotak India EQ Contra Fund,1000,5000,0.81,1440.0,10,Shibani Kurian,6,Kotak Mahindra Mutual Fund,4,Equity,Contra Funds,7.3,29.7,14.2
450,Kotak India Growth Fund,0,5000,0.34,90.0,5,Devender Singhal,6,Kotak Mahindra Mutual Fund,0,Equity,Multi Cap Funds,4.8,35.5,15.6
451,Kotak Infrastructure & Ecoc. Reform-SP-DirGrowth,1000,5000,1.0,727.0,10,Harish Krishnan,6,Kotak Mahindra Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,23.2,39.7,13.9
452,Kotak Liquid Fund,1000,100,0.15,33220.0,10,Deepak Agrawal,3,Kotak Mahindra Mutual Fund,2,Debt,Liquid Mutual Funds,5.6,4.3,5.3
453,Kotak Low Duration Fund,1000,5000,0.43,7420.0,10,Deepak Agrawal,3,Kotak Mahindra Mutual Fund,3,Debt,Low Duration Funds,5.4,6.2,6.9
